a,b,expr,sum
157,826,157+826,983
427,992,427+992,1419
927,448,927+448,1375
437,22,437+22,459
158,414,158+414,572
352,773,352+773,1125
47,843,47+843,890
372,513,372+513,885
612,993,612+993,1605
277,420,277+420,697
980,305,980+305,1285
530,718,530+718,1248
387,698,387+698,1085
806,192,806+192,998
965,990,965+990,1955
218,85,218+85,303
3,472,3+472,475
307,297,307+297,604
481,660,481+660,1141
241,647,241+647,888
570,148,570+148,718
382,688,382+688,1070
32,54,32+54,86
194,679,194+679,873
957,324,957+324,1281
830,440,830+440,1270
767,472,767+472,1239
210,723,210+723,933
308,48,308+48,356
232,808,232+808,1040
944,483,944+483,1427
427,562,427+562,989
173,380,173+380,553
441,642,441+642,1083
674,827,674+827,1501
780,962,780+962,1742
449,722,449+722,1171
866,553,866+553,1419
101,811,101+811,912
508,400,508+400,908
70,60,70+60,130
742,493,742+493,1235
299,205,299+205,504
808,824,808+824,1632
937,499,937+499,1436
903,847,903+847,1750
617,343,617+343,960
700,817,700+817,1517
871,301,871+301,1172
120,91,120+91,211
601,473,601+473,1074
736,513,736+513,1249
988,7,988+7,995
373,539,373+539,912
809,632,809+632,1441
840,862,840+862,1702
715,488,715+488,1203
522,130,522+130,652
739,36,739+36,775
530,97,530+97,627
484,711,484+711,1195
312,671,312+671,983
284,149,284+149,433
218,867,218+867,1085
335,149,335+149,484
519,900,519+900,1419
280,244,280+244,524
706,520,706+520,1226
795,767,795+767,1562
91,516,91+516,607
834,196,834+196,1030
227,693,227+693,920
953,424,953+424,1377
177,830,177+830,1007
242,966,242+966,1208
573,310,573+310,883
79,158,79+158,237
457,835,457+835,1292
111,253,111+253,364
383,611,383+611,994
591,988,591+988,1579
681,263,681+263,944
652,594,652+594,1246
254,198,254+198,452
990,8,990+8,998
167,421,167+421,588
866,420,866+420,1286
763,396,763+396,1159
678,728,678+728,1406
464,399,464+399,863
36,578,36+578,614
287,797,287+797,1084
414,307,414+307,721
923,213,923+213,1136
695,18,695+18,713
887,702,887+702,1589
853,748,853+748,1601
541,363,541+363,904
999,36,999+36,1035
585,215,585+215,800
224,295,224+295,519
779,6,779+6,785
412,73,412+73,485
591,332,591+332,923
352,320,352+320,672
218,888,218+888,1106
914,804,914+804,1718
276,15,276+15,291
629,754,629+754,1383
875,517,875+517,1392
606,295,606+295,901
416,59,416+59,475
750,153,750+153,903
2,833,2+833,835
770,866,770+866,1636
465,394,465+394,859
354,723,354+723,1077
844,639,844+639,1483
333,322,333+322,655
975,306,975+306,1281
388,304,388+304,692
245,159,245+159,404
2,139,2+139,141
761,691,761+691,1452
777,188,777+188,965
19,512,19+512,531
125,508,125+508,633
121,10,121+10,131
234,38,234+38,272
530,741,530+741,1271
189,769,189+769,958
899,923,899+923,1822
336,648,336+648,984
392,952,392+952,1344
296,549,296+549,845
677,865,677+865,1542
750,795,750+795,1545
552,408,552+408,960
480,248,480+248,728
341,937,341+937,1278
630,494,630+494,1124
606,750,606+750,1356
860,40,860+40,900
567,320,567+320,887
875,256,875+256,1131
506,932,506+932,1438
336,240,336+240,576
550,861,550+861,1411
897,943,897+943,1840
227,824,227+824,1051
371,244,371+244,615
310,877,310+877,1187
531,891,531+891,1422
963,222,963+222,1185
859,913,859+913,1772
184,143,184+143,327
278,484,278+484,762
405,352,405+352,757
237,535,237+535,772
582,643,582+643,1225
4,21,4+21,25
974,904,974+904,1878
139,444,139+444,583
997,340,997+340,1337
534,25,534+25,559
441,967,441+967,1408
252,900,252+900,1152
900,13,900+13,913
193,557,193+557,750
782,527,782+527,1309
400,147,400+147,547
244,993,244+993,1237
511,526,511+526,1037
737,705,737+705,1442
836,95,836+95,931
648,887,648+887,1535
215,98,215+98,313
96,283,96+283,379
766,548,766+548,1314
442,641,442+641,1083
464,49,464+49,513
164,433,164+433,597
530,277,530+277,807
177,443,177+443,620
514,853,514+853,1367
949,177,949+177,1126
603,812,603+812,1415
948,522,948+522,1470
691,364,691+364,1055
514,341,514+341,855
822,295,822+295,1117
400,997,400+997,1397
948,65,948+65,1013
361,392,361+392,753
856,360,856+360,1216
952,621,952+621,1573
453,872,453+872,1325
924,28,924+28,952
486,824,486+824,1310
439,708,439+708,1147
950,545,950+545,1495
427,663,427+663,1090
190,977,190+977,1167
608,327,608+327,935
617,373,617+373,990
156,269,156+269,425
844,579,844+579,1423
670,651,670+651,1321
577,738,577+738,1315
868,315,868+315,1183
654,475,654+475,1129
457,181,457+181,638
35,406,35+406,441
2,618,2+618,620
63,253,63+253,316
794,885,794+885,1679
669,322,669+322,991
649,96,649+96,745
805,556,805+556,1361
318,191,318+191,509
274,307,274+307,581
563,372,563+372,935
586,413,586+413,999
618,438,618+438,1056
614,414,614+414,1028
320,486,320+486,806
378,295,378+295,673
127,706,127+706,833
971,951,971+951,1922
54,205,54+205,259
414,694,414+694,1108
429,748,429+748,1177
644,774,644+774,1418
345,255,345+255,600
290,367,290+367,657
750,496,750+496,1246
150,870,150+870,1020
33,669,33+669,702
677,464,677+464,1141
381,628,381+628,1009
540,795,540+795,1335
82,399,82+399,481
731,658,731+658,1389
223,66,223+66,289
133,934,133+934,1067
612,892,612+892,1504
582,90,582+90,672
199,572,199+572,771
99,877,99+877,976
452,7,452+7,459
367,287,367+287,654
97,187,97+187,284
307,482,307+482,789
675,651,675+651,1326
40,880,40+880,920
464,736,464+736,1200
667,907,667+907,1574
650,907,650+907,1557
178,735,178+735,913
589,434,589+434,1023
847,234,847+234,1081
297,912,297+912,1209
459,557,459+557,1016
890,761,890+761,1651
153,753,153+753,906
956,772,956+772,1728
78,669,78+669,747
835,60,835+60,895
229,862,229+862,1091
232,578,232+578,810
36,792,36+792,828
351,32,351+32,383
320,740,320+740,1060
246,360,246+360,606
66,322,66+322,388
714,637,714+637,1351
397,249,397+249,646
374,116,374+116,490
447,921,447+921,1368
122,767,122+767,889
326,143,326+143,469
204,931,204+931,1135
213,198,213+198,411
410,792,410+792,1202
140,47,140+47,187
268,86,268+86,354
394,448,394+448,842
891,440,891+440,1331
80,624,80+624,704
67,149,67+149,216
974,239,974+239,1213
41,286,41+286,327
397,909,397+909,1306
94,642,94+642,736
217,395,217+395,612
224,697,224+697,921
707,689,707+689,1396
147,648,147+648,795
924,401,924+401,1325
436,525,436+525,961
339,151,339+151,490
113,851,113+851,964
313,476,313+476,789
554,785,554+785,1339
593,612,593+612,1205
810,711,810+711,1521
443,994,443+994,1437
275,600,275+600,875
97,226,97+226,323
854,935,854+935,1789
722,242,722+242,964
960,703,960+703,1663
621,303,621+303,924
715,764,715+764,1479
67,786,67+786,853
956,477,956+477,1433
737,138,737+138,875
201,689,201+689,890
749,350,749+350,1099
935,496,935+496,1431
558,86,558+86,644
951,312,951+312,1263
473,686,473+686,1159
840,626,840+626,1466
18,928,18+928,946
171,685,171+685,856
718,129,718+129,847
888,819,888+819,1707
224,864,224+864,1088
393,745,393+745,1138
56,449,56+449,505
318,876,318+876,1194
650,623,650+623,1273
749,691,749+691,1440
808,105,808+105,913
141,605,141+605,746
705,567,705+567,1272
75,160,75+160,235
467,640,467+640,1107
808,517,808+517,1325
692,194,692+194,886
639,280,639+280,919
405,350,405+350,755
748,81,748+81,829
809,922,809+922,1731
69,970,69+970,1039
930,897,930+897,1827
999,509,999+509,1508
549,9,549+9,558
214,681,214+681,895
330,721,330+721,1051
467,360,467+360,827
464,266,464+266,730
208,726,208+726,934
165,529,165+529,694
952,443,952+443,1395
881,308,881+308,1189
224,636,224+636,860
645,659,645+659,1304
714,726,714+726,1440
182,629,182+629,811
95,165,95+165,260
689,991,689+991,1680
175,746,175+746,921
427,728,427+728,1155
153,879,153+879,1032
319,611,319+611,930
654,793,654+793,1447
242,156,242+156,398
9,607,9+607,616
221,295,221+295,516
734,824,734+824,1558
305,698,305+698,1003
451,838,451+838,1289
659,609,659+609,1268
492,748,492+748,1240
984,872,984+872,1856
525,963,525+963,1488
25,453,25+453,478
408,297,408+297,705
300,526,300+526,826
313,267,313+267,580
525,156,525+156,681
532,959,532+959,1491
293,293,293+293,586
487,222,487+222,709
706,304,706+304,1010
311,679,311+679,990
746,723,746+723,1469
657,911,657+911,1568
9,625,9+625,634
624,546,624+546,1170
292,15,292+15,307
668,500,668+500,1168
226,910,226+910,1136
913,205,913+205,1118
179,753,179+753,932
857,128,857+128,985
475,107,475+107,582
627,354,627+354,981
477,473,477+473,950
206,504,206+504,710
50,61,50+61,111
889,273,889+273,1162
92,926,92+926,1018
537,725,537+725,1262
177,190,177+190,367
617,469,617+469,1086
879,836,879+836,1715
356,34,356+34,390
340,536,340+536,876
74,724,74+724,798
274,117,274+117,391
57,558,57+558,615
59,637,59+637,696
572,26,572+26,598
434,547,434+547,981
483,29,483+29,512
196,802,196+802,998
704,593,704+593,1297
970,613,970+613,1583
903,740,903+740,1643
386,887,386+887,1273
302,103,302+103,405
122,588,122+588,710
65,387,65+387,452
103,481,103+481,584
94,67,94+67,161
981,548,981+548,1529
366,456,366+456,822
972,706,972+706,1678
589,858,589+858,1447
773,571,773+571,1344
698,701,698+701,1399
971,143,971+143,1114
298,895,298+895,1193
207,280,207+280,487
54,746,54+746,800
894,695,894+695,1589
579,746,579+746,1325
421,904,421+904,1325
205,634,205+634,839
712,975,712+975,1687
587,39,587+39,626
687,138,687+138,825
616,200,616+200,816
63,967,63+967,1030
764,584,764+584,1348
477,82,477+82,559
225,326,225+326,551
832,63,832+63,895
910,499,910+499,1409
54,209,54+209,263
395,961,395+961,1356
316,780,316+780,1096
777,374,777+374,1151
305,774,305+774,1079
638,84,638+84,722
636,168,636+168,804
512,6,512+6,518
242,319,242+319,561
909,142,909+142,1051
417,876,417+876,1293
374,781,374+781,1155
40,557,40+557,597
964,568,964+568,1532
835,221,835+221,1056
342,787,342+787,1129
253,933,253+933,1186
305,667,305+667,972
151,457,151+457,608
649,410,649+410,1059
235,674,235+674,909
302,706,302+706,1008
304,501,304+501,805
661,158,661+158,819
691,246,691+246,937
71,539,71+539,610
639,991,639+991,1630
359,864,359+864,1223
965,824,965+824,1789
87,39,87+39,126
809,503,809+503,1312
594,894,594+894,1488
217,244,217+244,461
330,915,330+915,1245
310,817,310+817,1127
446,809,446+809,1255
30,4,30+4,34
711,729,711+729,1440
497,879,497+879,1376
139,162,139+162,301
349,639,349+639,988
665,744,665+744,1409
727,732,727+732,1459
144,914,144+914,1058
398,859,398+859,1257
926,538,926+538,1464
471,532,471+532,1003
73,934,73+934,1007
640,613,640+613,1253
168,857,168+857,1025
274,602,274+602,876
769,328,769+328,1097
367,321,367+321,688
210,443,210+443,653
661,527,661+527,1188
93,372,93+372,465
321,548,321+548,869
649,334,649+334,983
124,718,124+718,842
923,404,923+404,1327
308,663,308+663,971
923,686,923+686,1609
301,53,301+53,354
157,616,157+616,773
232,410,232+410,642
244,838,244+838,1082
668,872,668+872,1540
747,373,747+373,1120
278,163,278+163,441
645,629,645+629,1274
767,707,767+707,1474
185,920,185+920,1105
378,707,378+707,1085
836,140,836+140,976
87,561,87+561,648
210,558,210+558,768
470,386,470+386,856
109,395,109+395,504
688,735,688+735,1423
617,562,617+562,1179
669,853,669+853,1522
804,699,804+699,1503
225,170,225+170,395
120,329,120+329,449
497,810,497+810,1307
61,82,61+82,143
810,64,810+64,874
759,901,759+901,1660
586,437,586+437,1023
195,874,195+874,1069
634,970,634+970,1604
239,834,239+834,1073
92,66,92+66,158
530,844,530+844,1374
621,626,621+626,1247
931,481,931+481,1412
913,152,913+152,1065
45,72,45+72,117
962,680,962+680,1642
249,413,249+413,662
863,447,863+447,1310
808,385,808+385,1193
357,910,357+910,1267
820,68,820+68,888
116,325,116+325,441
463,181,463+181,644
11,775,11+775,786
290,414,290+414,704
42,375,42+375,417
667,397,667+397,1064
556,341,556+341,897
969,30,969+30,999
498,78,498+78,576
850,742,850+742,1592
899,477,899+477,1376
300,832,300+832,1132
66,73,66+73,139
676,168,676+168,844
968,863,968+863,1831
277,363,277+363,640
691,739,691+739,1430
938,154,938+154,1092
615,726,615+726,1341
250,954,250+954,1204
190,205,190+205,395
853,883,853+883,1736
323,599,323+599,922
675,741,675+741,1416
780,212,780+212,992
633,973,633+973,1606
780,620,780+620,1400
519,921,519+921,1440
71,116,71+116,187
64,712,64+712,776
275,37,275+37,312
386,319,386+319,705
453,873,453+873,1326
938,46,938+46,984
816,120,816+120,936
190,921,190+921,1111
693,680,693+680,1373
145,624,145+624,769
933,354,933+354,1287
2,723,2+723,725
276,220,276+220,496
260,974,260+974,1234
514,811,514+811,1325
202,35,202+35,237
374,780,374+780,1154
885,226,885+226,1111
734,437,734+437,1171
84,581,84+581,665
51,332,51+332,383
787,523,787+523,1310
103,50,103+50,153
765,14,765+14,779
315,442,315+442,757
709,56,709+56,765
997,539,997+539,1536
953,298,953+298,1251
882,175,882+175,1057
943,112,943+112,1055
892,940,892+940,1832
984,375,984+375,1359
28,450,28+450,478
414,980,414+980,1394
479,920,479+920,1399
905,896,905+896,1801
673,944,673+944,1617
190,911,190+911,1101
924,812,924+812,1736
716,58,716+58,774
471,581,471+581,1052
931,127,931+127,1058
902,580,902+580,1482
561,125,561+125,686
889,857,889+857,1746
472,10,472+10,482
698,252,698+252,950
281,818,281+818,1099
665,997,665+997,1662
912,234,912+234,1146
938,630,938+630,1568
286,831,286+831,1117
163,226,163+226,389
187,441,187+441,628
584,230,584+230,814
948,678,948+678,1626
992,215,992+215,1207
907,291,907+291,1198
871,884,871+884,1755
582,229,582+229,811
936,342,936+342,1278
865,511,865+511,1376
362,576,362+576,938
830,471,830+471,1301
396,405,396+405,801
347,936,347+936,1283
209,54,209+54,263
235,628,235+628,863
501,890,501+890,1391
246,506,246+506,752
755,843,755+843,1598
69,421,69+421,490
609,234,609+234,843
647,109,647+109,756
661,127,661+127,788
729,79,729+79,808
277,809,277+809,1086
886,893,886+893,1779
307,907,307+907,1214
606,941,606+941,1547
27,314,27+314,341
286,736,286+736,1022
734,530,734+530,1264
619,127,619+127,746
533,251,533+251,784
738,164,738+164,902
272,728,272+728,1000
326,301,326+301,627
728,851,728+851,1579
937,319,937+319,1256
992,873,992+873,1865
975,768,975+768,1743
943,368,943+368,1311
63,282,63+282,345
116,936,116+936,1052
449,921,449+921,1370
676,403,676+403,1079
618,223,618+223,841
484,518,484+518,1002
926,291,926+291,1217
232,453,232+453,685
638,689,638+689,1327
147,980,147+980,1127
893,336,893+336,1229
861,646,861+646,1507
820,255,820+255,1075
712,571,712+571,1283
926,249,926+249,1175
205,492,205+492,697
240,738,240+738,978
984,982,984+982,1966
846,112,846+112,958
767,768,767+768,1535
284,241,284+241,525
608,343,608+343,951
381,80,381+80,461
227,45,227+45,272
978,22,978+22,1000
977,918,977+918,1895
853,996,853+996,1849
103,836,103+836,939
14,581,14+581,595
949,626,949+626,1575
341,103,341+103,444
90,549,90+549,639
718,357,718+357,1075
727,919,727+919,1646
313,739,313+739,1052
497,438,497+438,935
91,608,91+608,699
452,658,452+658,1110
61,749,61+749,810
616,772,616+772,1388
513,341,513+341,854
817,907,817+907,1724
411,688,411+688,1099
96,240,96+240,336
609,823,609+823,1432
455,578,455+578,1033
565,854,565+854,1419
533,421,533+421,954
537,359,537+359,896
59,314,59+314,373
829,514,829+514,1343
10,967,10+967,977
838,58,838+58,896
895,804,895+804,1699
264,679,264+679,943
269,804,269+804,1073
471,583,471+583,1054
23,879,23+879,902
171,886,171+886,1057
104,61,104+61,165
171,208,171+208,379
375,678,375+678,1053
163,198,163+198,361
96,388,96+388,484
814,885,814+885,1699
130,598,130+598,728
19,228,19+228,247
929,278,929+278,1207
976,83,976+83,1059
711,974,711+974,1685
490,461,490+461,951
263,162,263+162,425
353,252,353+252,605
412,257,412+257,669
779,222,779+222,1001
290,457,290+457,747
467,8,467+8,475
269,379,269+379,648
736,102,736+102,838
291,488,291+488,779
498,90,498+90,588
557,318,557+318,875
477,138,477+138,615
69,691,69+691,760
984,183,984+183,1167
455,417,455+417,872
214,664,214+664,878
911,609,911+609,1520
502,239,502+239,741
160,732,160+732,892
627,885,627+885,1512
637,478,637+478,1115
275,913,275+913,1188
496,2,496+2,498
407,495,407+495,902
880,171,880+171,1051
681,57,681+57,738
361,502,361+502,863
203,494,203+494,697
388,326,388+326,714
902,386,902+386,1288
161,629,161+629,790
351,227,351+227,578
430,810,430+810,1240
265,227,265+227,492
979,173,979+173,1152
53,409,53+409,462
325,151,325+151,476
719,609,719+609,1328
682,687,682+687,1369
964,261,964+261,1225
218,815,218+815,1033
299,133,299+133,432
738,790,738+790,1528
376,320,376+320,696
28,312,28+312,340
17,993,17+993,1010
856,670,856+670,1526
760,974,760+974,1734
845,77,845+77,922
675,712,675+712,1387
947,323,947+323,1270
334,525,334+525,859
113,290,113+290,403
902,926,902+926,1828
949,575,949+575,1524
852,321,852+321,1173
571,781,571+781,1352
635,601,635+601,1236
111,930,111+930,1041
132,282,132+282,414
944,961,944+961,1905
438,635,438+635,1073
92,936,92+936,1028
123,132,123+132,255
128,708,128+708,836
367,590,367+590,957
558,598,558+598,1156
546,277,546+277,823
650,110,650+110,760
671,978,671+978,1649
162,282,162+282,444
711,191,711+191,902
602,596,602+596,1198
271,869,271+869,1140
182,303,182+303,485
73,772,73+772,845
607,36,607+36,643
959,375,959+375,1334
384,330,384+330,714
724,899,724+899,1623
458,692,458+692,1150
970,270,970+270,1240
776,29,776+29,805
888,576,888+576,1464
254,395,254+395,649
322,875,322+875,1197
852,268,852+268,1120
163,954,163+954,1117
464,460,464+460,924
196,213,196+213,409
227,722,227+722,949
866,677,866+677,1543
841,458,841+458,1299
916,431,916+431,1347
295,166,295+166,461
361,640,361+640,1001
842,144,842+144,986
903,444,903+444,1347
240,713,240+713,953
253,500,253+500,753
787,638,787+638,1425
559,625,559+625,1184
505,217,505+217,722
517,239,517+239,756
575,935,575+935,1510
657,716,657+716,1373
369,325,369+325,694
886,594,886+594,1480
205,729,205+729,934
717,606,717+606,1323
512,27,512+27,539
548,560,548+560,1108
333,443,333+443,776
960,930,960+930,1890
47,518,47+518,565
558,952,558+952,1510
719,546,719+546,1265
473,537,473+537,1010
903,5,903+5,908
997,479,997+479,1476
445,714,445+714,1159
333,977,333+977,1310
734,968,734+968,1702
123,828,123+828,951
601,364,601+364,965
516,704,516+704,1220
716,854,716+854,1570
158,16,158+16,174
529,255,529+255,784
563,725,563+725,1288
966,947,966+947,1913
989,273,989+273,1262
213,560,213+560,773
448,749,448+749,1197
735,734,735+734,1469
171,950,171+950,1121
967,995,967+995,1962
806,930,806+930,1736
795,40,795+40,835
41,626,41+626,667
178,768,178+768,946
583,433,583+433,1016
122,947,122+947,1069
987,857,987+857,1844
316,188,316+188,504
613,73,613+73,686
37,594,37+594,631
673,23,673+23,696
26,179,26+179,205
342,455,342+455,797
218,843,218+843,1061
760,571,760+571,1331
316,87,316+87,403
571,294,571+294,865
52,770,52+770,822
586,417,586+417,1003
73,957,73+957,1030
805,710,805+710,1515
670,163,670+163,833
8,655,8+655,663
849,159,849+159,1008
424,175,424+175,599
591,61,591+61,652
403,5,403+5,408
51,595,51+595,646
776,174,776+174,950
333,581,333+581,914
612,665,612+665,1277
492,240,492+240,732
852,873,852+873,1725
985,787,985+787,1772
146,615,146+615,761
674,993,674+993,1667
931,990,931+990,1921
564,742,564+742,1306
589,770,589+770,1359
792,186,792+186,978
253,620,253+620,873
417,775,417+775,1192
9,63,9+63,72
668,210,668+210,878
967,765,967+765,1732
947,947,947+947,1894
309,88,309+88,397
558,56,558+56,614
932,815,932+815,1747
719,281,719+281,1000
468,532,468+532,1000
990,184,990+184,1174
339,874,339+874,1213
434,459,434+459,893
366,922,366+922,1288
281,478,281+478,759
436,823,436+823,1259
390,967,390+967,1357
753,915,753+915,1668
59,624,59+624,683
705,239,705+239,944
535,180,535+180,715
704,993,704+993,1697
534,468,534+468,1002
776,289,776+289,1065
695,915,695+915,1610
597,127,597+127,724
841,296,841+296,1137
44,645,44+645,689
452,960,452+960,1412
274,107,274+107,381
163,572,163+572,735
227,142,227+142,369
637,725,637+725,1362
506,51,506+51,557
117,607,117+607,724
591,602,591+602,1193
468,863,468+863,1331
664,637,664+637,1301
615,394,615+394,1009
589,649,589+649,1238
983,715,983+715,1698
659,926,659+926,1585
250,557,250+557,807
939,998,939+998,1937
113,217,113+217,330
639,529,639+529,1168
264,272,264+272,536
410,97,410+97,507
218,862,218+862,1080
816,325,816+325,1141
251,471,251+471,722
736,804,736+804,1540
529,453,529+453,982
371,736,371+736,1107
662,385,662+385,1047
119,272,119+272,391
87,618,87+618,705
521,694,521+694,1215
727,540,727+540,1267
425,413,425+413,838
588,266,588+266,854
640,716,640+716,1356
723,569,723+569,1292
93,401,93+401,494
835,738,835+738,1573
877,803,877+803,1680
606,461,606+461,1067
157,744,157+744,901
377,837,377+837,1214
551,982,551+982,1533
257,837,257+837,1094
272,867,272+867,1139
880,744,880+744,1624
523,643,523+643,1166
997,332,997+332,1329
102,286,102+286,388
788,79,788+79,867
359,685,359+685,1044
24,335,24+335,359
29,348,29+348,377
449,904,449+904,1353
589,337,589+337,926
723,543,723+543,1266
110,786,110+786,896
24,525,24+525,549
60,967,60+967,1027
512,746,512+746,1258
500,765,500+765,1265
438,910,438+910,1348
121,173,121+173,294
928,606,928+606,1534
254,761,254+761,1015
372,411,372+411,783
141,409,141+409,550
650,509,650+509,1159
515,970,515+970,1485
84,692,84+692,776
437,663,437+663,1100
222,252,222+252,474
305,738,305+738,1043
661,566,661+566,1227
385,790,385+790,1175
368,235,368+235,603
598,637,598+637,1235
231,275,231+275,506
861,244,861+244,1105
573,218,573+218,791
765,710,765+710,1475
748,369,748+369,1117
425,60,425+60,485
954,950,954+950,1904
278,13,278+13,291
975,220,975+220,1195
233,998,233+998,1231
332,676,332+676,1008
844,404,844+404,1248
316,707,316+707,1023
805,600,805+600,1405
175,99,175+99,274
154,223,154+223,377
446,550,446+550,996
546,392,546+392,938
811,897,811+897,1708
899,521,899+521,1420
362,952,362+952,1314
796,840,796+840,1636
569,306,569+306,875
320,246,320+246,566
810,57,810+57,867
517,242,517+242,759
822,301,822+301,1123
392,338,392+338,730
90,271,90+271,361
989,471,989+471,1460
533,173,533+173,706
481,677,481+677,1158
72,415,72+415,487
783,964,783+964,1747
33,451,33+451,484
774,767,774+767,1541
942,723,942+723,1665
363,921,363+921,1284
180,870,180+870,1050
741,913,741+913,1654
865,170,865+170,1035
95,119,95+119,214
248,975,248+975,1223
970,786,970+786,1756
121,709,121+709,830
78,23,78+23,101
34,881,34+881,915
93,563,93+563,656
811,739,811+739,1550
923,305,923+305,1228
510,162,510+162,672
309,584,309+584,893
889,752,889+752,1641
752,648,752+648,1400
677,22,677+22,699
422,876,422+876,1298
702,622,702+622,1324
466,819,466+819,1285
843,150,843+150,993
460,782,460+782,1242
659,397,659+397,1056
420,906,420+906,1326
214,941,214+941,1155
592,2,592+2,594
279,925,279+925,1204
907,237,907+237,1144
850,80,850+80,930
346,108,346+108,454
300,49,300+49,349
277,400,277+400,677
812,958,812+958,1770
113,96,113+96,209
360,511,360+511,871
323,204,323+204,527
827,670,827+670,1497
899,499,899+499,1398
673,98,673+98,771
347,153,347+153,500
964,491,964+491,1455
103,8,103+8,111
778,764,778+764,1542
359,307,359+307,666
384,743,384+743,1127
613,833,613+833,1446
360,297,360+297,657
252,287,252+287,539
745,503,745+503,1248
848,534,848+534,1382
531,355,531+355,886
717,570,717+570,1287
519,88,519+88,607
191,536,191+536,727
995,105,995+105,1100
624,285,624+285,909
4,157,4+157,161
646,887,646+887,1533
292,488,292+488,780
441,503,441+503,944
867,229,867+229,1096
200,300,200+300,500
841,652,841+652,1493
684,656,684+656,1340
461,978,461+978,1439
666,292,666+292,958
17,110,17+110,127
547,272,547+272,819
441,86,441+86,527
894,12,894+12,906
112,428,112+428,540
844,624,844+624,1468
510,479,510+479,989
926,784,926+784,1710
263,233,263+233,496
197,785,197+785,982
59,779,59+779,838
79,895,79+895,974
782,977,782+977,1759
62,278,62+278,340
485,471,485+471,956
677,989,677+989,1666
751,189,751+189,940
543,813,543+813,1356
360,763,360+763,1123
684,506,684+506,1190
944,94,944+94,1038
931,352,931+352,1283
744,292,744+292,1036
453,824,453+824,1277
485,329,485+329,814
895,670,895+670,1565
352,19,352+19,371
197,92,197+92,289
112,91,112+91,203
375,389,375+389,764
913,505,913+505,1418
864,484,864+484,1348
446,383,446+383,829
106,302,106+302,408
394,867,394+867,1261
738,258,738+258,996
575,326,575+326,901
766,934,766+934,1700
295,58,295+58,353
882,269,882+269,1151
244,892,244+892,1136
129,318,129+318,447
451,690,451+690,1141
881,822,881+822,1703
192,60,192+60,252
912,142,912+142,1054
671,510,671+510,1181
16,72,16+72,88
999,426,999+426,1425
492,199,492+199,691
638,24,638+24,662
431,299,431+299,730
112,247,112+247,359
277,823,277+823,1100
731,779,731+779,1510
220,941,220+941,1161
541,798,541+798,1339
371,184,371+184,555
399,24,399+24,423
892,196,892+196,1088
582,970,582+970,1552
943,493,943+493,1436
374,9,374+9,383
519,423,519+423,942
459,194,459+194,653
29,169,29+169,198
683,471,683+471,1154
125,348,125+348,473
756,284,756+284,1040
760,174,760+174,934
983,775,983+775,1758
960,411,960+411,1371
346,878,346+878,1224
21,977,21+977,998
894,133,894+133,1027
891,421,891+421,1312
295,256,295+256,551
158,992,158+992,1150
645,588,645+588,1233
133,955,133+955,1088
526,577,526+577,1103
712,127,712+127,839
400,648,400+648,1048
145,894,145+894,1039
741,510,741+510,1251
858,793,858+793,1651
704,332,704+332,1036
739,502,739+502,1241
729,403,729+403,1132
395,734,395+734,1129
279,271,279+271,550
825,124,825+124,949
388,73,388+73,461
102,232,102+232,334
164,940,164+940,1104
721,873,721+873,1594
959,5,959+5,964
455,333,455+333,788
602,172,602+172,774
19,205,19+205,224
453,661,453+661,1114
723,96,723+96,819
613,243,613+243,856
305,989,305+989,1294
546,459,546+459,1005
118,369,118+369,487
392,869,392+869,1261
336,394,336+394,730
561,859,561+859,1420
102,136,102+136,238
907,866,907+866,1773
200,481,200+481,681
9,865,9+865,874
775,364,775+364,1139
938,573,938+573,1511
963,83,963+83,1046
663,486,663+486,1149
684,932,684+932,1616
185,367,185+367,552
761,31,761+31,792
78,166,78+166,244
599,45,599+45,644
603,240,603+240,843
392,253,392+253,645
717,371,717+371,1088
9,240,9+240,249
921,946,921+946,1867
591,351,591+351,942
49,45,49+45,94
422,990,422+990,1412
627,75,627+75,702
395,888,395+888,1283
379,736,379+736,1115
290,409,290+409,699
98,525,98+525,623
465,110,465+110,575
157,158,157+158,315
952,481,952+481,1433
823,602,823+602,1425
584,661,584+661,1245
260,758,260+758,1018
413,223,413+223,636
569,933,569+933,1502
104,901,104+901,1005
957,615,957+615,1572
949,40,949+40,989
997,500,997+500,1497
986,873,986+873,1859
433,454,433+454,887
846,256,846+256,1102
406,648,406+648,1054
229,742,229+742,971
413,914,413+914,1327
200,796,200+796,996
757,422,757+422,1179
330,124,330+124,454
714,255,714+255,969
750,221,750+221,971
641,295,641+295,936
96,787,96+787,883
432,795,432+795,1227
506,119,506+119,625
415,658,415+658,1073
797,313,797+313,1110
845,522,845+522,1367
661,12,661+12,673
475,31,475+31,506
268,520,268+520,788
63,197,63+197,260
868,438,868+438,1306
524,325,524+325,849
351,58,351+58,409
568,735,568+735,1303
953,608,953+608,1561
296,130,296+130,426
917,719,917+719,1636
909,71,909+71,980
809,609,809+609,1418
441,914,441+914,1355
787,532,787+532,1319
851,543,851+543,1394
613,221,613+221,834
101,62,101+62,163
521,689,521+689,1210
115,340,115+340,455
573,500,573+500,1073
972,593,972+593,1565
230,188,230+188,418
667,251,667+251,918
551,698,551+698,1249
861,87,861+87,948
74,139,74+139,213
510,470,510+470,980
269,477,269+477,746
800,816,800+816,1616
559,182,559+182,741
