a,b,expr,sum
869,610,869+610,1479
81,964,81+964,1045
912,171,912+171,1083
718,942,718+942,1660
179,857,179+857,1036
38,910,38+910,948
609,798,609+798,1407
748,638,748+638,1386
198,710,198+710,908
36,553,36+553,589
639,225,639+225,864
749,86,749+86,835
874,491,874+491,1365
494,565,494+565,1059
922,541,922+541,1463
790,320,790+320,1110
310,542,310+542,852
679,50,679+50,729
183,843,183+843,1026
196,18,196+18,214
44,786,44+786,830
244,200,244+200,444
57,612,57+612,669
327,971,327+971,1298
917,733,917+733,1650
657,681,657+681,1338
845,797,845+797,1642
473,443,473+443,916
705,705,705+705,1410
117,413,117+413,530
829,173,829+173,1002
852,290,852+290,1142
524,336,524+336,860
886,297,886+297,1183
385,113,385+113,498
125,719,125+719,844
715,563,715+563,1278
428,653,428+653,1081
594,61,594+61,655
168,767,168+767,935
449,733,449+733,1182
965,411,965+411,1376
948,146,948+146,1094
732,979,732+979,1711
663,220,663+220,883
465,217,465+217,682
76,745,76+745,821
88,733,88+733,821
269,419,269+419,688
650,605,650+605,1255
235,970,235+970,1205
675,242,675+242,917
252,32,252+32,284
925,331,925+331,1256
774,391,774+391,1165
92,299,92+299,391
687,155,687+155,842
878,235,878+235,1113
395,469,395+469,864
885,37,885+37,922
636,777,636+777,1413
768,903,768+903,1671
367,760,367+760,1127
215,5,215+5,220
789,824,789+824,1613
917,356,917+356,1273
800,36,800+36,836
563,715,563+715,1278
640,389,640+389,1029
660,570,660+570,1230
366,271,366+271,637
676,876,676+876,1552
743,295,743+295,1038
198,856,198+856,1054
803,799,803+799,1602
582,451,582+451,1033
712,681,712+681,1393
925,354,925+354,1279
509,842,509+842,1351
245,565,245+565,810
993,19,993+19,1012
964,941,964+941,1905
517,360,517+360,877
459,19,459+19,478
763,909,763+909,1672
878,624,878+624,1502
301,796,301+796,1097
166,573,166+573,739
34,840,34+840,874
377,999,377+999,1376
797,486,797+486,1283
311,473,311+473,784
533,640,533+640,1173
110,238,110+238,348
137,586,137+586,723
520,434,520+434,954
950,648,950+648,1598
887,741,887+741,1628
237,228,237+228,465
760,147,760+147,907
574,771,574+771,1345
178,667,178+667,845
923,341,923+341,1264
119,497,119+497,616
336,280,336+280,616
574,262,574+262,836
182,563,182+563,745
582,265,582+265,847
562,948,562+948,1510
754,215,754+215,969
635,818,635+818,1453
142,645,142+645,787
56,332,56+332,388
296,345,296+345,641
619,814,619+814,1433
969,600,969+600,1569
791,442,791+442,1233
822,934,822+934,1756
648,657,648+657,1305
684,293,684+293,977
630,889,630+889,1519
413,687,413+687,1100
815,835,815+835,1650
507,860,507+860,1367
88,838,88+838,926
568,757,568+757,1325
705,845,705+845,1550
123,777,123+777,900
850,780,850+780,1630
297,922,297+922,1219
850,437,850+437,1287
6,709,6+709,715
416,791,416+791,1207
306,630,306+630,936
338,988,338+988,1326
924,959,924+959,1883
304,192,304+192,496
672,595,672+595,1267
621,916,621+916,1537
935,22,935+22,957
138,408,138+408,546
845,173,845+173,1018
394,472,394+472,866
290,475,290+475,765
467,133,467+133,600
711,927,711+927,1638
616,966,616+966,1582
663,976,663+976,1639
440,504,440+504,944
617,958,617+958,1575
914,915,914+915,1829
577,212,577+212,789
390,71,390+71,461
335,843,335+843,1178
53,283,53+283,336
902,167,902+167,1069
245,602,245+602,847
869,69,869+69,938
595,970,595+970,1565
749,279,749+279,1028
955,527,955+527,1482
319,226,319+226,545
475,495,475+495,970
937,448,937+448,1385
661,388,661+388,1049
219,530,219+530,749
112,457,112+457,569
330,899,330+899,1229
133,155,133+155,288
537,672,537+672,1209
467,242,467+242,709
816,666,816+666,1482
883,785,883+785,1668
724,813,724+813,1537
435,640,435+640,1075
139,827,139+827,966
762,285,762+285,1047
751,599,751+599,1350
447,448,447+448,895
84,770,84+770,854
992,870,992+870,1862
257,364,257+364,621
415,299,415+299,714
290,360,290+360,650
451,73,451+73,524
31,247,31+247,278
215,392,215+392,607
760,216,760+216,976
400,543,400+543,943
749,373,749+373,1122
128,230,128+230,358
285,678,285+678,963
25,650,25+650,675
747,970,747+970,1717
577,851,577+851,1428
551,177,551+177,728
252,953,252+953,1205
312,385,312+385,697
147,448,147+448,595
284,715,284+715,999
254,958,254+958,1212
36,135,36+135,171
800,903,800+903,1703
949,278,949+278,1227
496,633,496+633,1129
539,662,539+662,1201
539,129,539+129,668
759,921,759+921,1680
560,684,560+684,1244
187,210,187+210,397
17,834,17+834,851
726,412,726+412,1138
453,40,453+40,493
448,47,448+47,495
206,892,206+892,1098
590,217,590+217,807
284,939,284+939,1223
843,696,843+696,1539
90,657,90+657,747
216,725,216+725,941
970,8,970+8,978
225,398,225+398,623
560,787,560+787,1347
301,384,301+384,685
515,840,515+840,1355
409,762,409+762,1171
386,361,386+361,747
540,247,540+247,787
519,642,519+642,1161
200,898,200+898,1098
462,701,462+701,1163
753,563,753+563,1316
865,553,865+553,1418
55,399,55+399,454
114,973,114+973,1087
126,933,126+933,1059
338,657,338+657,995
16,920,16+920,936
840,301,840+301,1141
69,466,69+466,535
946,790,946+790,1736
62,677,62+677,739
452,602,452+602,1054
400,904,400+904,1304
880,831,880+831,1711
760,185,760+185,945
717,902,717+902,1619
770,996,770+996,1766
900,614,900+614,1514
790,979,790+979,1769
68,293,68+293,361
288,348,288+348,636
481,915,481+915,1396
35,298,35+298,333
372,473,372+473,845
87,922,87+922,1009
896,948,896+948,1844
768,548,768+548,1316
559,675,559+675,1234
934,678,934+678,1612
969,662,969+662,1631
641,995,641+995,1636
147,664,147+664,811
897,508,897+508,1405
589,887,589+887,1476
940,919,940+919,1859
34,606,34+606,640
468,933,468+933,1401
50,401,50+401,451
706,238,706+238,944
785,725,785+725,1510
852,465,852+465,1317
6,162,6+162,168
509,318,509+318,827
571,953,571+953,1524
740,840,740+840,1580
311,271,311+271,582
926,961,926+961,1887
942,689,942+689,1631
826,430,826+430,1256
271,489,271+489,760
771,460,771+460,1231
164,727,164+727,891
881,675,881+675,1556
285,44,285+44,329
173,586,173+586,759
161,811,161+811,972
155,696,155+696,851
339,483,339+483,822
356,692,356+692,1048
984,615,984+615,1599
784,890,784+890,1674
184,910,184+910,1094
831,244,831+244,1075
775,110,775+110,885
813,575,813+575,1388
879,729,879+729,1608
256,661,256+661,917
26,388,26+388,414
795,490,795+490,1285
126,681,126+681,807
882,23,882+23,905
287,54,287+54,341
322,64,322+64,386
301,413,301+413,714
763,236,763+236,999
158,175,158+175,333
670,656,670+656,1326
947,770,947+770,1717
193,83,193+83,276
176,425,176+425,601
449,76,449+76,525
544,760,544+760,1304
906,797,906+797,1703
670,441,670+441,1111
824,977,824+977,1801
280,485,280+485,765
977,592,977+592,1569
300,573,300+573,873
553,682,553+682,1235
71,340,71+340,411
844,317,844+317,1161
886,877,886+877,1763
55,910,55+910,965
181,6,181+6,187
901,319,901+319,1220
215,847,215+847,1062
362,523,362+523,885
588,990,588+990,1578
676,404,676+404,1080
853,458,853+458,1311
867,657,867+657,1524
173,575,173+575,748
925,95,925+95,1020
570,866,570+866,1436
310,609,310+609,919
692,488,692+488,1180
202,526,202+526,728
892,298,892+298,1190
270,375,270+375,645
661,367,661+367,1028
830,346,830+346,1176
151,264,151+264,415
419,517,419+517,936
453,628,453+628,1081
810,735,810+735,1545
341,381,341+381,722
127,420,127+420,547
465,321,465+321,786
392,437,392+437,829
976,646,976+646,1622
87,792,87+792,879
6,247,6+247,253
588,937,588+937,1525
302,210,302+210,512
562,256,562+256,818
658,849,658+849,1507
134,306,134+306,440
315,456,315+456,771
861,354,861+354,1215
706,13,706+13,719
592,314,592+314,906
455,286,455+286,741
71,386,71+386,457
685,230,685+230,915
149,384,149+384,533
961,700,961+700,1661
745,249,745+249,994
279,131,279+131,410
417,10,417+10,427
490,397,490+397,887
765,771,765+771,1536
913,804,913+804,1717
830,767,830+767,1597
375,998,375+998,1373
313,69,313+69,382
902,368,902+368,1270
418,394,418+394,812
901,801,901+801,1702
752,457,752+457,1209
516,639,516+639,1155
455,793,455+793,1248
208,364,208+364,572
585,871,585+871,1456
370,360,370+360,730
465,496,465+496,961
942,853,942+853,1795
79,756,79+756,835
511,375,511+375,886
85,825,85+825,910
417,567,417+567,984
598,549,598+549,1147
4,201,4+201,205
424,585,424+585,1009
197,716,197+716,913
263,95,263+95,358
61,917,61+917,978
989,275,989+275,1264
206,12,206+12,218
214,41,214+41,255
852,827,852+827,1679
981,410,981+410,1391
848,298,848+298,1146
78,313,78+313,391
962,445,962+445,1407
63,574,63+574,637
353,862,353+862,1215
936,43,936+43,979
743,903,743+903,1646
336,877,336+877,1213
583,592,583+592,1175
504,124,504+124,628
630,352,630+352,982
814,798,814+798,1612
434,481,434+481,915
255,538,255+538,793
51,548,51+548,599
140,480,140+480,620
156,480,156+480,636
701,753,701+753,1454
72,908,72+908,980
306,242,306+242,548
113,838,113+838,951
983,325,983+325,1308
600,72,600+72,672
432,878,432+878,1310
469,511,469+511,980
684,619,684+619,1303
305,22,305+22,327
278,369,278+369,647
664,323,664+323,987
240,300,240+300,540
8,609,8+609,617
151,552,151+552,703
579,726,579+726,1305
78,136,78+136,214
184,174,184+174,358
42,966,42+966,1008
591,972,591+972,1563
763,660,763+660,1423
85,526,85+526,611
247,1,247+1,248
936,273,936+273,1209
583,413,583+413,996
528,536,528+536,1064
628,441,628+441,1069
178,391,178+391,569
197,659,197+659,856
468,382,468+382,850
165,638,165+638,803
198,306,198+306,504
317,208,317+208,525
258,475,258+475,733
872,448,872+448,1320
551,429,551+429,980
705,441,705+441,1146
910,748,910+748,1658
32,555,32+555,587
482,340,482+340,822
438,84,438+84,522
53,652,53+652,705
47,355,47+355,402
471,297,471+297,768
490,423,490+423,913
919,254,919+254,1173
993,772,993+772,1765
162,153,162+153,315
113,302,113+302,415
505,384,505+384,889
781,445,781+445,1226
762,548,762+548,1310
671,927,671+927,1598
614,775,614+775,1389
743,235,743+235,978
948,388,948+388,1336
184,291,184+291,475
936,465,936+465,1401
718,873,718+873,1591
208,226,208+226,434
252,986,252+986,1238
508,998,508+998,1506
753,308,753+308,1061
102,397,102+397,499
698,233,698+233,931
260,837,260+837,1097
864,912,864+912,1776
133,797,133+797,930
250,726,250+726,976
101,784,101+784,885
497,603,497+603,1100
843,80,843+80,923
597,92,597+92,689
771,641,771+641,1412
316,744,316+744,1060
960,356,960+356,1316
582,595,582+595,1177
984,567,984+567,1551
250,625,250+625,875
635,202,635+202,837
344,523,344+523,867
963,294,963+294,1257
445,158,445+158,603
577,831,577+831,1408
756,973,756+973,1729
508,629,508+629,1137
787,462,787+462,1249
792,712,792+712,1504
399,365,399+365,764
856,666,856+666,1522
506,35,506+35,541
558,966,558+966,1524
327,141,327+141,468
278,754,278+754,1032
200,921,200+921,1121
135,363,135+363,498
348,529,348+529,877
800,945,800+945,1745
704,946,704+946,1650
879,365,879+365,1244
347,994,347+994,1341
411,807,411+807,1218
211,794,211+794,1005
36,171,36+171,207
990,767,990+767,1757
107,215,107+215,322
827,42,827+42,869
869,288,869+288,1157
264,218,264+218,482
853,344,853+344,1197
758,394,758+394,1152
992,753,992+753,1745
293,791,293+791,1084
882,222,882+222,1104
115,79,115+79,194
938,500,938+500,1438
805,400,805+400,1205
972,469,972+469,1441
42,629,42+629,671
259,122,259+122,381
70,889,70+889,959
735,209,735+209,944
982,455,982+455,1437
884,66,884+66,950
767,316,767+316,1083
243,589,243+589,832
205,268,205+268,473
941,302,941+302,1243
782,280,782+280,1062
701,26,701+26,727
373,390,373+390,763
376,684,376+684,1060
916,472,916+472,1388
891,149,891+149,1040
33,928,33+928,961
772,441,772+441,1213
344,438,344+438,782
358,800,358+800,1158
229,470,229+470,699
461,250,461+250,711
804,953,804+953,1757
392,842,392+842,1234
533,417,533+417,950
218,71,218+71,289
285,267,285+267,552
422,633,422+633,1055
874,224,874+224,1098
439,784,439+784,1223
957,471,957+471,1428
265,336,265+336,601
789,547,789+547,1336
523,796,523+796,1319
967,587,967+587,1554
125,593,125+593,718
630,404,630+404,1034
108,356,108+356,464
262,741,262+741,1003
469,210,469+210,679
678,20,678+20,698
659,251,659+251,910
432,911,432+911,1343
767,586,767+586,1353
837,79,837+79,916
533,838,533+838,1371
504,238,504+238,742
769,520,769+520,1289
976,338,976+338,1314
376,103,376+103,479
68,406,68+406,474
877,306,877+306,1183
297,872,297+872,1169
751,408,751+408,1159
9,968,9+968,977
47,502,47+502,549
586,613,586+613,1199
690,587,690+587,1277
26,727,26+727,753
888,662,888+662,1550
864,266,864+266,1130
798,601,798+601,1399
376,875,376+875,1251
88,177,88+177,265
910,493,910+493,1403
162,969,162+969,1131
658,357,658+357,1015
102,75,102+75,177
635,749,635+749,1384
908,507,908+507,1415
424,671,424+671,1095
359,795,359+795,1154
437,47,437+47,484
629,582,629+582,1211
294,484,294+484,778
808,796,808+796,1604
749,974,749+974,1723
536,884,536+884,1420
383,533,383+533,916
919,40,919+40,959
659,225,659+225,884
98,129,98+129,227
920,665,920+665,1585
408,332,408+332,740
478,844,478+844,1322
967,286,967+286,1253
974,528,974+528,1502
861,91,861+91,952
501,293,501+293,794
436,445,436+445,881
433,437,433+437,870
374,456,374+456,830
402,188,402+188,590
744,916,744+916,1660
231,10,231+10,241
613,271,613+271,884
661,647,661+647,1308
465,558,465+558,1023
583,54,583+54,637
766,919,766+919,1685
292,343,292+343,635
343,885,343+885,1228
426,235,426+235,661
166,478,166+478,644
316,826,316+826,1142
377,151,377+151,528
332,707,332+707,1039
721,857,721+857,1578
309,988,309+988,1297
977,798,977+798,1775
655,198,655+198,853
179,30,179+30,209
238,975,238+975,1213
41,414,41+414,455
406,36,406+36,442
756,163,756+163,919
543,788,543+788,1331
454,60,454+60,514
493,179,493+179,672
279,543,279+543,822
215,221,215+221,436
603,950,603+950,1553
981,749,981+749,1730
177,287,177+287,464
956,714,956+714,1670
442,74,442+74,516
961,696,961+696,1657
302,658,302+658,960
184,831,184+831,1015
213,210,213+210,423
558,786,558+786,1344
57,562,57+562,619
59,382,59+382,441
406,817,406+817,1223
